labels	start	stop
noEnergy	0.0	7.5600000000000005
male	7.5600000000000005	16.22
music	16.22	21.28
noEnergy	21.28	21.92
noise	21.92	22.98
male	22.98	40.94
music	40.94	45.06
noise	45.06	47.08
male	47.08	56.28
music	56.28	57.82
female	57.82	70.42
male	70.42	74.62
music	74.62	78.7
noise	78.7	87.18
male	87.18	102.9
noEnergy	102.9	103.46000000000001
male	103.46000000000001	108.2
noEnergy	108.2	108.82000000000001
male	108.82000000000001	120.52
noise	120.52	124.86
music	124.86	128.38
male	128.38	141.86
noise	141.86	151.12
male	151.12	155.20000000000002
female	155.20000000000002	158.18
noise	158.18	169.96
male	169.96	176.0
noEnergy	176.0	177.04
music	177.04	182.82
noEnergy	182.82	184.82
